order_id,metro_id,store_id,customer_id,created_at
13571562,1,1,792079,2019-01-02 23:40:32.385831
13655794,1,1,1903795,2019-01-05 20:11:05.570093
14123099,1,1,127956,2019-01-19 19:57:43.865203
14420509,1,1,1012340,2019-01-27 22:26:18.602900
14208064,20,1,93594,2019-01-21 21:46:26.607809
14406508,1,1,1522857,2019-01-27 19:29:07.516026
13944175,1,1,852714,2019-01-14 00:08:09.986405
13962132,1,1,2566,2019-01-14 18:19:57.487115
14335252,1,1,378844,2019-01-26 02:46:08.703074
14151733,1,1,843929,2019-01-20 17:13:12.218188
13914659,1,1,1157097,2019-01-13 17:01:41.869706
13596417,1,1,21249,2019-01-03 21:21:40.552241
13566958,1,1,1822667,2019-01-02 21:48:16.614155
14187834,1,1,320141,2019-01-21 15:42:59.958277
14228173,1,1,1201462,2019-01-22 17:08:51.125574
14296444,1,1,99150,2019-01-24 22:05:47.755123
14239023,1,1,1973521,2019-01-22 21:40:27.994869
14360940,1,1,601177,2019-01-26 20:36:41.579019
13575419,1,1,1683542,2019-01-03 02:38:53.367451
14364287,20,1,549691,2019-01-26 21:42:56.121338
14387900,1,1,1752942,2019-01-27 15:55:27.731425
14333828,1,1,116311,2019-01-26 01:30:36.964301
14412979,1,1,770874,2019-01-27 20:46:05.120269
14358629,1,1,12851,2019-01-26 19:54:28.487743
14442639,1,1,533355,2019-01-28 17:27:48.874376
13902300,1,1,698519,2019-01-13 13:29:10.661530
14500529,1,1,186582,2019-01-30 17:37:48.347265
14108423,1,1,1595453,2019-01-19 14:54:30.884048
14231093,1,1,243439,2019-01-22 18:25:12.621379
14433497,1,1,1918299,2019-01-28 13:37:03.318725
13624571,1,1,120714,2019-01-04 20:47:06.299103
14152527,1,1,175275,2019-01-20 17:25:55.466905
13889005,1,1,1520581,2019-01-12 21:37:09.923719
14022609,1,1,1366991,2019-01-16 19:02:24.362063
14304097,1,1,56112,2019-01-25 03:29:38.191664
14036832,1,1,23911,2019-01-17 02:50:04.313399
13846253,20,1,1632766,2019-01-11 18:35:55.123202
14203723,1,1,500535,2019-01-21 20:28:25.354217
14298336,1,1,2047195,2019-01-24 22:59:07.499053
14472379,1,1,80691,2019-01-29 16:51:36.529051
14342822,1,1,428696,2019-01-26 15:03:11.386661
14454392,1,1,1600047,2019-01-28 21:57:42.023365
14157491,20,1,1260227,2019-01-20 18:39:02.779142
14198460,1,1,254130,2019-01-21 18:56:48.484061
14458665,1,1,99136,2019-01-28 23:53:36.241193
14518838,1,1,237842,2019-01-31 14:01:41.490146
14134206,1,1,1955611,2019-01-20 00:51:49.292324
13607017,1,1,30703,2019-01-04 06:30:41.178054
14349726,1,1,89487,2019-01-26 17:13:04.810536
14155618,1,1,1903365,2019-01-20 18:10:59.689535
14240255,1,1,1312247,2019-01-22 22:10:54.054981
13826044,1,1,1744253,2019-01-10 23:09:59.616750
13650763,1,1,1233,2019-01-05 18:27:15.995917
14120131,1,1,9728,2019-01-19 18:56:18.340384
14320360,1,1,1233,2019-01-25 19:16:05.555488
13908958,20,1,755897,2019-01-13 15:41:23.591135
14017950,1,1,891003,2019-01-16 16:55:52.142226
14354404,1,1,785346,2019-01-26 18:38:15.490194
14085901,1,1,1199618,2019-01-18 19:25:38.954262
14230413,1,1,106846,2019-01-22 18:07:42.230133
14056649,1,1,123770,2019-01-17 21:16:36.153052
14236040,1,1,72219,2019-01-22 20:28:09.812663
14161261,1,1,1364,2019-01-20 19:35:19.687271
13562147,1,1,877616,2019-01-02 20:08:12.306291
13811318,1,1,58302,2019-01-10 16:17:08.471670
